Place of Interest|tipo_centro|Place address|BiciMAD Station|Station Location|dock_bikes
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE)|Museos|AVENIDA JUAN DE HERRERA 2|INEF|Avenida Juan de Herrera frente a la calle Paul Guinard|14
Nave de Terneras del Centro Cultural Casa del Reloj|Centros Culturales|PASEO CHOPERA 10|Entrada Matadero|Paseo de la Chopera nº 14|19
Palacio Real de El Pardo|Museos|CALLE MANUEL ALONSO 8|Facultad Derecho|Avenida Complutense nº 23|5
Palacio Real de Madrid|Museos|CALLE BAILEN|San Quintín|Calle Pavía nº 6|6
Panteón de Hombres Ilustres|Museos|CALLE JULIAN GAYARRE 3|Puerta de Granada|Avenida de Menéndez Pelayo nº 38|19
Parroquia Santa Cruz|Museos|CALLE ATOCHA 6|Conde de Romanones|Plaza del Conde de Romanones nº 9|23
Planetario de Madrid|Museos|AVENIDA PLANETARIO 16|Embajadores 191|Calle Sodio nº 1B|6
Real Basílica San Francisco el Grande|Museos|CALLE SAN BUENAVENTURA 1|Plaza de San Francisco|Plaza de San Francisco nº 5|13
Real Fábrica de Tapices|Museos|CALLE FUENTERRABIA 2|Puerta de Granada|Avenida de Menéndez Pelayo nº 38|19
Real Monasterio de Santa Isabel|Museos|CALLE SANTA ISABEL 48|Antón Martín|Calle Atocha nº 54|13
Real Monasterio de la Encarnación|Museos|PLAZA ENCARNACION 1|San Quintín|Calle Pavía nº 6|6
Real Monasterio de las Descalzas Reales|Museos|PLAZA DESCALZAS 3|Plaza de Celenque A|Plaza de Celenque nº 1|1
Templo de Debod|Museos|CALLE FERRAZ 1|Ferraz|Calle Evaristo San Miguel nº 2|13
The Robot Museum (Museo del Robot)|Museos|CALLE SERRANO 61 PLANTA BAJA|Castellana 42|Paseo de la Castellana nº 42|8
Yacimiento paleontológico. Estación de Metro Carpetana|Museos|CALLE VIA CARPETANA 141|Caramuel|Calle Caramuel nº 51|14
Zapadores Ciudad del Arte|Museos|CALLE ANTONIO DE CABEZON 70|Pedro Rico|Calle Pedro Rico nº 4|13
